SESSION NAME:	A GREAT TV SHOW
SAMPLE RATE:	48000,000000
BIT DEPTH:	16-bit
SESSION START TIMECODE:	10:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	621
# OF AUDIO FILES:	167


T R A C K  L I S T I N G
TRACK NAME:	A1
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	82      	HISTORI.CS.new.01-01.A2       	10:51:25:11   	10:52:02:21   	00:00:37:10   	Unmuted


TRACK NAME:	A3
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Story_znelka_HD.mov.new.01-02.A1	10:00:00:00   	10:00:16:12   	00:00:16:12   	Unmuted
1       	2       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-03.A3	10:00:56:15   	10:01:57:14   	00:01:00:24   	Unmuted
1       	3       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-01.A3	10:01:57:14   	10:02:01:09   	00:00:03:20   	Unmuted
1       	4       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-02.A3	10:02:01:09   	10:02:17:20   	00:00:16:11   	Unmuted
1       	5       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.02-01.A3	10:02:17:20   	10:03:07:14   	00:00:49:19   	Unmuted
1       	6       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.03-01.A3	10:03:07:14   	10:03:15:04   	00:00:07:15   	Unmuted
1       	7       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-01.A3	10:03:15:04   	10:03:51:01   	00:00:35:22   	Unmuted
1       	8       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-02.A3	10:03:51:01   	10:04:52:09   	00:01:01:08   	Unmuted
1       	9       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-01.A3	10:05:36:24   	10:05:40:03   	00:00:03:04   	Unmuted
1       	10      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-06.A3	10:05:40:03   	10:06:54:22   	00:01:14:19   	Unmuted
